,Company Name,Symbol,Market,Price,Shares,Offer Amount,Date Priced,URL
441,CADENCE PHARMACEUTICALS INC,CADX,NASDAQ,$9,"6,000,000","$54,000,000",10/25/2006,http://www.nasdaq.com/markets/ipos/company/cadence-pharmaceuticals-inc-679859-50767
442,EAGLE ROCK ENERGY PARTNERS L P,EROC,NASDAQ,$19,"12,500,000","$237,500,000",10/25/2006,http://www.nasdaq.com/markets/ipos/company/eagle-rock-energy-partners-l-p-711020-50200
443,"GATEHOUSE MEDIA, INC.",GHS,New York Stock Exchange,$18,"13,800,000","$248,400,000",10/25/2006,http://www.nasdaq.com/markets/ipos/company/gatehouse-media-inc-715724-50825
444,DOUGLAS EMMETT INC,DEI,New York Stock Exchange,$21,"66,000,000","$1,386,000,000",10/24/2006,http://www.nasdaq.com/markets/ipos/company/douglas-emmett-inc-712303-50367
445,GRANAHAN MCCOURT ACQUISITION CORP,GHN.U,American Stock Exchange,$8,"11,250,000","$90,000,000",10/20/2006,http://www.nasdaq.com/markets/ipos/company/granahan-mccourt-acquisition-corp-716048-50885
446,"EXLSERVICE HOLDINGS, INC.",EXLS,NASDAQ,$13.50,"5,000,000","$67,500,000",10/20/2006,http://www.nasdaq.com/markets/ipos/company/exlservice-holdings-inc-656996-42349
447,"MONTVALE TECHNOLOGIES, INC.",II,American Stock Exchange,$6,"2,500,000","$15,000,000",10/19/2006,http://www.nasdaq.com/markets/ipos/company/montvale-technologies-inc-664134-43351
448,SUSSER HOLDINGS CORP,SUSS,NASDAQ,$16.50,"6,500,000","$107,250,000",10/19/2006,http://www.nasdaq.com/markets/ipos/company/susser-holdings-corp-708519-49856
449,LEMAITRE VASCULAR INC,LMAT,NASDAQ,$7,"5,500,000","$38,500,000",10/19/2006,http://www.nasdaq.com/markets/ipos/company/lemaitre-vascular-inc-375919-49607
450,"STANLEY, INC.",SXE,New York Stock Exchange,$13,"6,300,000","$81,900,000",10/18/2006,http://www.nasdaq.com/markets/ipos/company/stanley-inc-708574-49862
451,"TRUBION PHARMACEUTICALS, INC",TRBN,NASDAQ,$13,"4,000,000","$52,000,000",10/18/2006,http://www.nasdaq.com/markets/ipos/company/trubion-pharmaceuticals-inc-644209-50176
452,FIRST MERCURY FINANCIAL CORP,FMR,New York Stock Exchange,$17,"9,705,882","$164,999,994",10/18/2006,http://www.nasdaq.com/markets/ipos/company/first-mercury-financial-corp-28649-50111
453,"EXTERRAN PARTNERS, L.P.",UCLP,NASDAQ,$21,"5,500,000","$115,500,000",10/17/2006,http://www.nasdaq.com/markets/ipos/company/exterran-partners-lp-713372-50498
454,ULTRAPETROL BAHAMAS LTD,ULTR,NASDAQ,$11,"12,500,000","$137,500,000",10/13/2006,http://www.nasdaq.com/markets/ipos/company/ultrapetrol-bahamas-ltd-109200-49233
455,"LEIDOS HOLDINGS, INC.",SAI,New York Stock Exchange,$15,"75,000,000","$1,125,000,000",10/13/2006,http://www.nasdaq.com/markets/ipos/company/leidos-holdings-inc-684378-46262
456,FORTISSIMO ACQUISITION CORP.,FSMOU,OTCBB,$6,"4,000,000","$24,000,000",10/13/2006,http://www.nasdaq.com/markets/ipos/company/fortissimo-acquisition-corp-697760-48411
457,ACME PACKET INC,APKT,NASDAQ,$9.50,"11,474,528","$109,008,016",10/13/2006,http://www.nasdaq.com/markets/ipos/company/acme-packet-inc-176700-50162
458,CYTRX ONCOLOGY CORP,IVPH,OTCBB,$3.70,"8,362,852","$30,942,552",10/13/2006,http://www.nasdaq.com/markets/ipos/company/cytrx-oncology-corp-685836-51062
459,"EHEALTH, INC.",EHTH,NASDAQ,$14,"5,000,000","$70,000,000",10/13/2006,http://www.nasdaq.com/markets/ipos/company/ehealth-inc-706368-49603
460,DANAOS CORP,DAC,New York Stock Exchange,$21,"10,250,000","$215,250,000",10/6/2006,http://www.nasdaq.com/markets/ipos/company/danaos-corp-721250-51592
461,BREITBURN ENERGY PARTNERS LP,BBEP,NASDAQ,$18.50,"6,000,000","$111,000,000",10/4/2006,http://www.nasdaq.com/markets/ipos/company/breitburn-energy-partners-lp-708572-49861
462,PRIMORIS SERVICES CORP,RPSDU,OTCBB,$8,"4,500,000","$36,000,000",10/4/2006,http://www.nasdaq.com/markets/ipos/company/primoris-services-corp-710750-50166
463,VIEWPOINT FINANCIAL GROUP,VPFG,NASDAQ,$10,"10,091,250","$100,912,500",10/3/2006,http://www.nasdaq.com/markets/ipos/company/viewpoint-financial-group-705801-49505
464,WESTERN UNION CO,WU,New York Stock Exchange,$19.20,"22,000,000","$422,400,000",10/2/2006,http://www.nasdaq.com/markets/ipos/company/western-union-co-711432-51532
465,"MACRO SECURITIES DEPOSITOR, LLC",DCR,American Stock Exchange,$60,"7,500,000","$450,000,000",11/30/2006,http://www.nasdaq.com/markets/ipos/company/macro-securities-depositor-llc-639945-50380
466,NETLIST INC,NLST,NASDAQ,$7,"6,250,000","$43,750,000",11/30/2006,http://www.nasdaq.com/markets/ipos/company/netlist-inc-718817-51227
467,"MACRO SECURITIES DEPOSITOR, LLC",UCR,American Stock Exchange,$60,"7,500,000","$450,000,000",11/30/2006,http://www.nasdaq.com/markets/ipos/company/macro-securities-depositor-llc-639945-40027
468,CENTRAL NORTH AIRPORT GROUP,OMAB,NASDAQ,$18,"10,439,130","$187,904,340",11/29/2006,http://www.nasdaq.com/markets/ipos/company/central-north-airport-group-726401-52329
469,"CREATIVE REALITIES, INC.",RNIN,NASDAQ,$4,"4,500,000","$18,000,000",11/27/2006,http://www.nasdaq.com/markets/ipos/company/creative-realities-inc-702329-51336
470,NORTH AMERICAN ENERGY PARTNERS INC.,NOA,New York Stock Exchange,$16,"12,500,000","$200,000,000",11/22/2006,http://www.nasdaq.com/markets/ipos/company/north-american-energy-partners-inc-715723-50824
471,"SPIRIT AEROSYSTEMS HOLDINGS, INC.",SPR,New York Stock Exchange,$26,"55,083,334","$1,432,166,684",11/21/2006,http://www.nasdaq.com/markets/ipos/company/spirit-aerosystems-holdings-inc-713947-50573
472,AERCAP HOLDINGS N.V.,AER,New York Stock Exchange,$23,"26,100,000","$600,300,000",11/21/2006,http://www.nasdaq.com/markets/ipos/company/aercap-holdings-nv-725183-52163
473,"WILLDAN GROUP, INC.",WLDN,NASDAQ,$10,"2,900,000","$29,000,000",11/21/2006,http://www.nasdaq.com/markets/ipos/company/willdan-group-inc-717861-51106
474,"FIRST SOLAR, INC.",FSLR,NASDAQ,$20,"20,000,000","$400,000,000",11/17/2006,http://www.nasdaq.com/markets/ipos/company/first-solar-inc-612718-50620
475,"VENOCO, INC.",VQ,New York Stock Exchange,$17,"12,500,000","$212,500,000",11/17/2006,http://www.nasdaq.com/markets/ipos/company/venoco-inc-669107-47806
476,NYMEX HOLDINGS INC,NMX,New York Stock Exchange,$59,"6,500,000","$383,500,000",11/17/2006,http://www.nasdaq.com/markets/ipos/company/nymex-holdings-inc-72786-50754
477,NYMEX HOLDINGS INC,NMX,New York Stock Exchange,$59,"6,484,800","$382,603,200",11/17/2006,http://www.nasdaq.com/markets/ipos/company/nymex-holdings-inc-72786-51992
478,"KBR, INC.",KBR,New York Stock Exchange,$17,"27,840,000","$473,280,000",11/16/2006,http://www.nasdaq.com/markets/ipos/company/kbr-inc-705464-49473
479,HANSEN MEDICAL INC,HNSN,NASDAQ,$12,"6,250,000","$75,000,000",11/16/2006,http://www.nasdaq.com/markets/ipos/company/hansen-medical-inc-615515-51211
480,HERTZ GLOBAL HOLDINGS INC,HTZ,New York Stock Exchange,$15,"88,235,000","$1,323,525,000",11/16/2006,http://www.nasdaq.com/markets/ipos/company/hertz-global-holdings-inc-710494-50741
481,ALLOT COMMUNICATIONS LTD.,ALLT,NASDAQ,$12,"6,500,000","$78,000,000",11/16/2006,http://www.nasdaq.com/markets/ipos/company/allot-communications-ltd-724863-52121
482,SANCHEZ PRODUCTION PARTNERS LP,CEP,New York Stock Exchange,$21,"4,500,000","$94,500,000",11/15/2006,http://www.nasdaq.com/markets/ipos/company/sanchez-production-partners-lp-711916-50315
483,EMERGENT BIOSOLUTIONS INC.,EBS,New York Stock Exchange,$12.50,"5,000,000","$62,500,000",11/15/2006,http://www.nasdaq.com/markets/ipos/company/emergent-biosolutions-inc-718371-51186
484,"AMTRUST FINANCIAL SERVICES, INC.",AFSI,NASDAQ,$7.50,"25,584,000","$191,880,000",11/13/2006,http://www.nasdaq.com/markets/ipos/company/amtrust-financial-services-inc-711780-50293
485,MANIFOLD CAPITAL CORP.,ACA,New York Stock Exchange,$13,"6,898,541","$89,681,033",11/10/2006,http://www.nasdaq.com/markets/ipos/company/manifold-capital-corp-650829-49809
486,CAPELLA EDUCATION CO,CPLA,NASDAQ,$20,"4,000,000","$80,000,000",11/10/2006,http://www.nasdaq.com/markets/ipos/company/capella-education-co-105420-44128
487,"METABOLIX, INC.",MBLX,NASDAQ,$14,"6,800,000","$95,200,000",11/10/2006,http://www.nasdaq.com/markets/ipos/company/metabolix-inc-109383-50733
488,SOLTA MEDICAL INC,THRM,NASDAQ,$7,"6,000,000","$42,000,000",11/10/2006,http://www.nasdaq.com/markets/ipos/company/solta-medical-inc-107401-51131
489,CANADIAN SOLAR INC.,CSIQ,NASDAQ,$15,"7,700,000","$115,500,000",11/9/2006,http://www.nasdaq.com/markets/ipos/company/canadian-solar-inc-724142-52002
490,"KBW, INC.",KBW,New York Stock Exchange,$21,"6,800,000","$142,800,000",11/9/2006,http://www.nasdaq.com/markets/ipos/company/kbw-inc-54411-51135
491,"ONEBEACON INSURANCE GROUP, LTD.",OB,New York Stock Exchange,$25,"24,000,000","$600,000,000",11/9/2006,http://www.nasdaq.com/markets/ipos/company/onebeacon-insurance-group-ltd-717164-51035
492,"ADCARE HEALTH SYSTEMS, INC",ADK.U,American Stock Exchange,$9.50,"703,000","$6,678,500",11/9/2006,http://www.nasdaq.com/markets/ipos/company/adcare-health-systems-inc-208141-48485
493,"PHYSICIANS FORMULA HOLDINGS, INC.",FACE,NASDAQ,$17,"7,500,000","$127,500,000",11/9/2006,http://www.nasdaq.com/markets/ipos/company/physicians-formula-holdings-inc-604853-51315
494,"CATALYST PHARMACEUTICALS, INC.",CPRX,NASDAQ,$6,"3,350,000","$20,100,000",11/8/2006,http://www.nasdaq.com/markets/ipos/company/catalyst-pharmaceuticals-inc-716009-50881
495,ORBCOMM INC.,ORBC,NASDAQ,$11,"9,230,800","$101,538,800",11/3/2006,http://www.nasdaq.com/markets/ipos/company/orbcomm-inc-708623-49884
496,"INNOPHOS HOLDINGS, INC.",IPHS,NASDAQ,$12,"8,695,652","$104,347,824",11/2/2006,http://www.nasdaq.com/markets/ipos/company/innophos-holdings-inc-715144-50789
497,"GLOBALSTAR, INC.",GSAT,NASDAQ,$17,"7,500,000","$127,500,000",11/2/2006,http://www.nasdaq.com/markets/ipos/company/globalstar-inc-715019-50760
498,DEBT RESOLVE INC,DRV,American Stock Exchange,$5,"2,500,000","$12,500,000",11/1/2006,http://www.nasdaq.com/markets/ipos/company/debt-resolve-inc-73185-50818
499,RR MEDIA LTD.,RRST,NASDAQ,$12.50,"3,800,000","$47,500,000",11/1/2006,http://www.nasdaq.com/markets/ipos/company/rr-media-ltd-723250-51881
500,SOUTHERN NATIONAL BANCORP OF VIRGINIA INC,SONA,NASDAQ,$14,"1,786,000","$25,004,000",11/1/2006,http://www.nasdaq.com/markets/ipos/company/southern-national-bancorp-of-virginia-inc-672467-51034
501,OWENS CORNING,OC,New York Stock Exchange,$28.05,"66,135,211","$1,855,092,669",11/1/2006,http://www.nasdaq.com/markets/ipos/company/owens-corning-717526-51067
502,"GLG PARTNERS, INC.",FRH.U,American Stock Exchange,$10,"48,000,000","$480,000,000",12/26/2006,http://www.nasdaq.com/markets/ipos/company/glg-partners-inc-717026-51008
503,SHINE MEDIA ACQUISITION CORP.,SHNDU,OTCBB,$6,"6,000,000","$36,000,000",12/21/2006,http://www.nasdaq.com/markets/ipos/company/shine-media-acquisition-corp-681429-45737
504,UNIVERSAL POWER GROUP INC.,UPG,American Stock Exchange,$7,"3,000,000","$21,000,000",12/21/2006,http://www.nasdaq.com/markets/ipos/company/universal-power-group-inc-720619-51506
505,"HANWHA Q CELLS CO., LTD.",SOLF,NASDAQ,$12.50,"12,000,000","$150,000,000",12/20/2006,http://www.nasdaq.com/markets/ipos/company/hanwha-q-cells-co-ltd-728397-52615
506,TRANSFORMA ACQUISITION GROUP INC.,TAQ-U,American Stock Exchange,$8,"12,500,000","$100,000,000",12/20/2006,http://www.nasdaq.com/markets/ipos/company/transforma-acquisition-group-inc-720616-51504
507,DAYTON SUPERIOR CORP,DSUP,NASDAQ,$12,"7,850,000","$94,200,000",12/20/2006,http://www.nasdaq.com/markets/ipos/company/dayton-superior-corp-11831-51805
508,ARTES MEDICAL INC,ARTE,NASDAQ,$6,"4,600,000","$27,600,000",12/20/2006,http://www.nasdaq.com/markets/ipos/company/artes-medical-inc-697561-49882
509,"FUWEI FILMS (HOLDINGS), CO. LTD.",FFHL,NASDAQ,$8.28,"3,750,000","$31,050,000",12/19/2006,http://www.nasdaq.com/markets/ipos/company/fuwei-films-holdings-co-ltd-727391-52451
510,MELCO CROWN ENTERTAINMENT LTD,MPEL,NASDAQ,$19,"60,250,000","$1,144,750,000",12/19/2006,http://www.nasdaq.com/markets/ipos/company/melco-crown-entertainment-ltd-727736-52537
511,"CLAYMONT STEEL HOLDINGS, INC.",PLTE,NASDAQ,$17,"8,700,000","$147,900,000",12/19/2006,http://www.nasdaq.com/markets/ipos/company/claymont-steel-holdings-inc-717425-51064
512,TRINA SOLAR LTD,TSL,New York Stock Exchange,$18.50,"5,300,000","$98,050,000",12/19/2006,http://www.nasdaq.com/markets/ipos/company/trina-solar-ltd-728079-52572
513,"NEWSTAR FINANCIAL, INC.",NEWS,NASDAQ,$17,"12,000,000","$204,000,000",12/15/2006,http://www.nasdaq.com/markets/ipos/company/newstar-financial-inc-721498-51628
514,"ISILON SYSTEMS, INC.",ISLN,NASDAQ,$13,"8,350,000","$108,550,000",12/15/2006,http://www.nasdaq.com/markets/ipos/company/isilon-systems-inc-719902-51401
515,"CARROLS RESTAURANT GROUP, INC.",TAST,NASDAQ,$13,"10,000,000","$130,000,000",12/15/2006,http://www.nasdaq.com/markets/ipos/company/carrols-restaurant-group-inc-457824-51635
516,US BIOENERGY CORP,USBE,NASDAQ,$14,"10,000,000","$140,000,000",12/15/2006,http://www.nasdaq.com/markets/ipos/company/us-bioenergy-corp-679293-51029
517,PANTHEON CHINA ACQUISITION CORP.,PCQCU,OTCBB,$6,"5,000,000","$30,000,000",12/15/2006,http://www.nasdaq.com/markets/ipos/company/pantheon-china-acquisition-corp-718196-51166
518,"RESTAURANT ACQUISITION PARTNERS, INC.",RAPIU,OTCBB,$6,"3,333,333","$19,999,998",12/15/2006,http://www.nasdaq.com/markets/ipos/company/restaurant-acquisition-partners-inc-689352-47100
519,"CAL DIVE INTERNATIONAL, INC.",DVR,New York Stock Exchange,$13,"22,173,000","$288,249,000",12/15/2006,http://www.nasdaq.com/markets/ipos/company/cal-dive-international-inc-710546-50128
520,"DOUBLE-TAKE SOFTWARE, INC.",DBTK,NASDAQ,$11,"7,500,000","$82,500,000",12/15/2006,http://www.nasdaq.com/markets/ipos/company/doubletake-software-inc-718030-51130
521,AFFYMAX INC,AFFY,NASDAQ,$25,"3,700,000","$92,500,000",12/15/2006,http://www.nasdaq.com/markets/ipos/company/affymax-inc-150437-50937
522,ALTRA INDUSTRIAL MOTION CORP.,AIMC,NASDAQ,$13.50,"10,000,000","$135,000,000",12/15/2006,http://www.nasdaq.com/markets/ipos/company/altra-industrial-motion-corp-722111-51728
523,DCT INDUSTRIAL TRUST INC.,DCT,New York Stock Exchange,$12.25,"16,300,000","$199,675,000",12/14/2006,http://www.nasdaq.com/markets/ipos/company/dct-industrial-trust-inc-107266-51976
524,GENESIS LEASE LTD,GLS,New York Stock Exchange,$23,"27,860,000","$640,780,000",12/14/2006,http://www.nasdaq.com/markets/ipos/company/genesis-lease-ltd-727439-52463
525,"WSB FINANCIAL GROUP, INC.",WSFG,NASDAQ,$16.50,"2,300,000","$37,950,000",12/14/2006,http://www.nasdaq.com/markets/ipos/company/wsb-financial-group-inc-719733-51386
526,TEEKAY OFFSHORE PARTNERS L.P.,TOO,New York Stock Exchange,$21,"7,000,000","$147,000,000",12/14/2006,http://www.nasdaq.com/markets/ipos/company/teekay-offshore-partners-lp-727835-52551
527,"OBAGI MEDICAL PRODUCTS, INC.",OMPI,NASDAQ,$11,"5,350,000","$58,850,000",12/14/2006,http://www.nasdaq.com/markets/ipos/company/obagi-medical-products-inc-720627-51512
528,"MEDECISION, INC.",MEDE,NASDAQ,$10,"4,700,000","$47,000,000",12/13/2006,http://www.nasdaq.com/markets/ipos/company/medecision-inc-718114-51145
529,"GUIDANCE SOFTWARE, INC.",GUID,NASDAQ,$11.50,"5,000,000","$57,500,000",12/13/2006,http://www.nasdaq.com/markets/ipos/company/guidance-software-inc-720991-51562
530,IPG PHOTONICS CORP,IPGP,NASDAQ,$16.50,"9,000,000","$148,500,000",12/13/2006,http://www.nasdaq.com/markets/ipos/company/ipg-photonics-corp-81515-51141
531,"ATLAS ENERGY RESOURCES, LLC",ATN,New York Stock Exchange,$21,"6,325,000","$132,825,000",12/13/2006,http://www.nasdaq.com/markets/ipos/company/atlas-energy-resources-llc-716535-50917
532,ALLEGIANT TRAVEL CO,ALGT,NASDAQ,$18,"5,000,000","$90,000,000",12/8/2006,http://www.nasdaq.com/markets/ipos/company/allegiant-travel-co-708744-49910
533,AEGEAN MARINE PETROLEUM NETWORK INC.,ANW,New York Stock Exchange,$14,"12,500,000","$175,000,000",12/8/2006,http://www.nasdaq.com/markets/ipos/company/aegean-marine-petroleum-network-inc-691060-47351
534,"HEELYS, INC.",HLYS,NASDAQ,$21,"6,425,000","$134,925,000",12/8/2006,http://www.nasdaq.com/markets/ipos/company/heelys-inc-719749-51388
535,"SMART MOVE, INC.",MVE.U,American Stock Exchange,$5,"2,880,000","$14,400,000",12/7/2006,http://www.nasdaq.com/markets/ipos/company/smart-move-inc-699086-51882
536,"PENN VIRGINIA GP HOLDINGS, L.P.",PVG,New York Stock Exchange,$18.50,"6,300,000","$116,550,000",12/5/2006,http://www.nasdaq.com/markets/ipos/company/penn-virginia-gp-holdings-lp-714588-50687
537,DUNCAN ENERGY PARTNERS L.P.,DEP,New York Stock Exchange,$21,"13,000,000","$273,000,000",1/31/2007,http://www.nasdaq.com/markets/ipos/company/duncan-energy-partners-lp-725101-52155
538,"EMPLOYERS HOLDINGS, INC.",EIG,New York Stock Exchange,$17,"26,750,000","$454,750,000",1/31/2007,http://www.nasdaq.com/markets/ipos/company/employers-holdings-inc-724944-52539
539,"HFF, INC.",HF,New York Stock Exchange,$18,"14,300,000","$257,400,000",1/31/2007,http://www.nasdaq.com/markets/ipos/company/hff-inc-725896-52238
540,"ANIMAL HEALTH HOLDINGS, INC.",AHII,NASDAQ,$11,"11,800,000","$129,800,000",1/31/2007,http://www.nasdaq.com/markets/ipos/company/animal-health-holdings-inc-722085-51725
541,RENAISSANCE ACQUISITION CORP.,RAK.U,American Stock Exchange,$6,"15,600,000","$93,600,000",1/30/2007,http://www.nasdaq.com/markets/ipos/company/renaissance-acquisition-corp-709867-50036
542,"OCULUS INNOVATIVE SCIENCES, INC.",OCLS,NASDAQ,$8,"3,025,000","$24,200,000",1/25/2007,http://www.nasdaq.com/markets/ipos/company/oculus-innovative-sciences-inc-714052-50629
543,UIB GROUP LTD,CGNUF,OTCBB,$8,"4,500,000","$36,000,000",1/25/2007,http://www.nasdaq.com/markets/ipos/company/uib-group-ltd-709963-50049
544,CHINA TOPREACH INC.,CGSUF,OTCBB,$8,"4,500,000","$36,000,000",1/25/2007,http://www.nasdaq.com/markets/ipos/company/china-topreach-inc-709964-50050
545,"EVOQ PROPERTIES, INC.",MMPI,NASDAQ,$10,"40,000,000","$400,000,000",1/25/2007,http://www.nasdaq.com/markets/ipos/company/evoq-properties-inc-721249-51591
546,ORITANI FINANCIAL CORP.,ORIT,NASDAQ,$10,"10,578,825","$105,788,250",1/24/2007,http://www.nasdaq.com/markets/ipos/company/oritani-financial-corp-720790-51526
547,AEROVIRONMENT INC,AVAV,NASDAQ,$17,"6,700,000","$113,900,000",1/23/2007,http://www.nasdaq.com/markets/ipos/company/aerovironment-inc-722088-51726
548,MV OIL TRUST,MVO,New York Stock Exchange,$20,"7,500,000","$150,000,000",1/19/2007,http://www.nasdaq.com/markets/ipos/company/mv-oil-trust-718337-51177
549,INTELGENX TECHNOLOGIES CORP.,IGXT,OTCBB,$0.60,"5,116,489","$3,069,893",1/18/2007,http://www.nasdaq.com/markets/ipos/company/intelgenx-technologies-corp-69249-51570
550,LEGACY RESERVES LP,LGCY,NASDAQ,$19,"4,209,954","$79,989,126",1/12/2007,http://www.nasdaq.com/markets/ipos/company/legacy-reserves-lp-704947-49863
551,LEGACY RESERVES LP,LGCY,NASDAQ,$19,"790,046","$15,010,874",1/12/2007,http://www.nasdaq.com/markets/ipos/company/legacy-reserves-lp-704947-49865
552,LEGACY RESERVES LP,LGCY,NASDAQ,$19,"6,000,000","$114,000,000",1/12/2007,http://www.nasdaq.com/markets/ipos/company/legacy-reserves-lp-704947-52286
553,"AEROGROW INTERNATIONAL, INC.",AGWI,OTCBB,$8,"6,700,900","$53,607,200",1/8/2007,http://www.nasdaq.com/markets/ipos/company/aerogrow-international-inc-665198-49403
554,FUNTALK CHINA HOLDINGS LTD,MKGDU,OTCBB,$8,"198,000","$1,584,000",1/5/2007,http://www.nasdaq.com/markets/ipos/company/funtalk-china-holdings-ltd-706229-49570
555,MSB FINANCIAL CORP.,MSBF,NASDAQ,$10,"2,199,375","$21,993,750",1/5/2007,http://www.nasdaq.com/markets/ipos/company/msb-financial-corp-720712-51520
556,DB MULTI-SECTOR COMMODITY MASTER TRUST,DBA,American Stock Exchange,$25,"1,000,000","$25,000,000",1/5/2007,http://www.nasdaq.com/markets/ipos/company/db-multisector-commodity-master-trust-713700-50537
557,"NEURALSTEM, INC.",NRLS,OTCBB,$1,"16,335,333","$16,335,333",1/4/2007,http://www.nasdaq.com/markets/ipos/company/neuralstem-inc-704044-49276
558,ROSETTA GENOMICS LTD.,ROSG,NASDAQ,$7,"3,750,000","$26,250,000",2/27/2007,http://www.nasdaq.com/markets/ipos/company/rosetta-genomics-ltd-719912-51406
559,POWERSHARES DB US DOLLAR INDEX TRUST,UUP,American Stock Exchange,$25,"1,000,000","$25,000,000",2/20/2007,http://www.nasdaq.com/markets/ipos/company/powershares-db-us-dollar-index-trust-718141-51157
560,"CHINA CARBON GRAPHITE GROUP, INC.",CHGI,OTCBB,$1.10,"1,768,900","$1,945,790",2/16/2007,http://www.nasdaq.com/markets/ipos/company/china-carbon-graphite-group-inc-631578-38989
561,"QUADRA REALTY TRUST, INC.",QRR,New York Stock Exchange,$15,"16,670,000","$250,050,000",2/15/2007,http://www.nasdaq.com/markets/ipos/company/quadra-realty-trust-inc-725871-52256
562,"SALARY. COM, INC.",SLRY,NASDAQ,$10.50,"5,700,000","$59,850,000",2/15/2007,http://www.nasdaq.com/markets/ipos/company/salary-com-inc-177889-52292
563,OPNEXT INC,OPXT,NASDAQ,$15,"16,909,375","$253,640,625",2/15/2007,http://www.nasdaq.com/markets/ipos/company/opnext-inc-151265-52089
564,GENEVA ACQUISITION CORP,GAC.U,American Stock Exchange,$6,"10,000,000","$60,000,000",2/14/2007,http://www.nasdaq.com/markets/ipos/company/geneva-acquisition-corp-713681-50532
